Link,Name,Birth Year,Occupation,Country
http://dbpedia.org/resource/Caitlin_O'Heaney,Caitlin O'Heaney,1952,http://dbpedia.org/resource/Caitlin_O'Heaney__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Caitlin_O'Heaney,Caitlin O'Heaney,1952,http://dbpedia.org/resource/Caitlin_O'Heaney__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Caitlin_Stasey,Caitlin Stasey,1990,http://dbpedia.org/resource/Caitlin_Stasey__PersonFunction__1,http://dbpedia.org/resource/Australia
http://dbpedia.org/resource/Caitlin_Van_Zandt,Caitlin Van Zandt,1985,http://dbpedia.org/resource/Caitlin_Van_Zandt__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Caitlin_Van_Zandt,Caitlin Van Zandt,1985,http://dbpedia.org/resource/Actor,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Caitlin_Van_Zandt,Caitlin Van Zandt,1985,http://dbpedia.org/resource/Caitlin_Van_Zandt__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Caitlin_Van_Zandt,Caitlin Van Zandt,1985,http://dbpedia.org/resource/Actor,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Caitriona_Reed,Caitriona Reed,1949,http://dbpedia.org/resource/Caitriona_Reed__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Caitriona_Reed,Caitriona Reed,1949,http://dbpedia.org/resource/Caitriona_Reed__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Caitríona_Balfe,Caitríona Balfe,1979,http://dbpedia.org/resource/Caitríona_Balfe__PersonFunction__1,http://dbpedia.org/resource/Republic_of_Ireland
http://dbpedia.org/resource/Caity_Lotz,Caity Lotz,1986,http://dbpedia.org/resource/Martial_artist,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Caity_Lotz,Caity Lotz,1986,http://dbpedia.org/resource/Caity_Lotz__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Caity_Lotz,Caity Lotz,1986,http://dbpedia.org/resource/Martial_artist,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Caity_Lotz,Caity Lotz,1986,http://dbpedia.org/resource/Caity_Lotz__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Caja_Heimann,Caja Heimann,1918,http://dbpedia.org/resource/Caja_Heimann__PersonFunction__1,http://dbpedia.org/resource/Denmark
http://dbpedia.org/resource/Cajetan_J._B._Baumann,"Cajetan J. B. Baumann, O.F.M.",1899,http://dbpedia.org/resource/Cajetan_J._B._Baumann__PersonFunction__1,http://dbpedia.org/resource/http://dbpedia.org/resource/Germany
http://dbpedia.org/resource/Cal_Dodd,Cal Dodd,1956,http://dbpedia.org/resource/Cal_Dodd__PersonFunction__1,http://dbpedia.org/resource/Republic_of_Ireland
http://dbpedia.org/resource/Cal_Johnson_(businessman),Cal Johnson,1844,http://dbpedia.org/resource/Cal_Johnson_(businessman)__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Cal_Laning,Caleb Barrett Laning,1906,http://dbpedia.org/resource/Cal_Laning__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Cal_Lepore,Cal Lepore,1919,http://dbpedia.org/resource/Cal_Lepore__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Cal_Lepore,Cal Lepore,1919,http://dbpedia.org/resource/Official_(gridiron_football),http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Cal_MacAninch,Cal MacAninch,1963,http://dbpedia.org/resource/Cal_MacAninch__PersonFunction__1,http://dbpedia.org/resource/United_Kingdom
http://dbpedia.org/resource/Cal_MacAninch,Cal MacAninch,1963,http://dbpedia.org/resource/Cal_MacAninch__PersonFunction__1,http://dbpedia.org/resource/United_Kingdom
http://dbpedia.org/resource/Cal_McNair,Cal McNair,1961,http://dbpedia.org/resource/Cal_McNair__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Cal_McNair,Cal McNair,1961,http://dbpedia.org/resource/Cal_McNair__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Cal_Nichols,Cal Nichols,1942,http://dbpedia.org/resource/Cal_Nichols__PersonFunction__1,http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/Cala_Cimenti,Cala Cimenti,1975,http://dbpedia.org/resource/Mountaineer,http://dbpedia.org/resource/Italy
http://dbpedia.org/resource/Cala_Cimenti,Cala Cimenti,1975,http://dbpedia.org/resource/Cala_Cimenti__PersonFunction__1,http://dbpedia.org/resource/Italy
http://dbpedia.org/resource/Calahan_Skogman,Calahan Skogman,1993,http://dbpedia.org/resource/Calahan_Skogman__PersonFunction__1,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Calal_Kengerli,(Jalal Kengerli),1992,http://dbpedia.org/resource/Calal_Kengerli__PersonFunction__1,http://dbpedia.org/resource/Azerbaijan
http://dbpedia.org/resource/Calal_Kengerli,Cəlal Kəngərli,1992,http://dbpedia.org/resource/Calal_Kengerli__PersonFunction__1,http://dbpedia.org/resource/Azerbaijan
